ordinal,frameId,frameName,nodeId,nodeName,adjacentText,ancestorNames,ancestorIds,family,icon,style,fills,svg,geometryKey,width,height,colors
3906,kDsvU,"27C. GitHub PR · Checks passing, requirements unknown",kDEIk,Tools menu chevron,,"27C. GitHub PR · Checks passing, requirements unknown > Shared project navigation > Local workspace status > Compact workspace actions > Tools button",kDsvU/M2RDP/um4Dd/IqgWF/KjyBP,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,10px,10px,#667084
3907,kDsvU,"27C. GitHub PR · Checks passing, requirements unknown",n1KYP,Theme icon,,"27C. GitHub PR · Checks passing, requirements unknown > Shared project navigation > Local workspace status > Compact workspace actions > Theme button",kDsvU/M2RDP/um4Dd/IqgWF/VfHlv,lucide,sun-moon,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#4B5566,icons/lucide-sun-moon-e715c2aaac76.svg,lucide/sun-moon/e715c2aaac76,17px,17px,#4B5566
3908,kDsvU,"27C. GitHub PR · Checks passing, requirements unknown",Pcb87,Project folder,Workspace / GitHub main,"27C. GitHub PR · Checks passing, requirements unknown > Page workspace > Shared page breadcrumb",kDsvU/DCgL7/PzWk8,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68,16px,16px,#667084
3909,kDsvU,"27C. GitHub PR · Checks passing, requirements unknown",ZfZt3,Isolated worktree indicator,Workspace / GitHub main,"27C. GitHub PR · Checks passing, requirements unknown > Page workspace > Shared page breadcrumb",kDsvU/DCgL7/PzWk8,lucide,shield-check,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#6D28D9,icons/lucide-shield-check-588013874c94.svg,lucide/shield-check/588013874c94,16px,16px,#6D28D9
3910,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,Miq1Y,Search,Search… ⌘K,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Search tasks,zze3r/eiuFS/zmwW1,lucide,search,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-search-97566fb629e3.svg,lucide/search/97566fb629e3,16px,16px,#8992A6
3911,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,Zl85A,New task icon,New task,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Workspace links > New task,zze3r/eiuFS/KZzFc/BmQeP,lucide,plus,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#8992A6,icons/lucide-plus-5d291bcb8254.svg,lucide/plus/5d291bcb8254,18px,18px,#8992A6
3912,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,O5FimD,Project folder,iac main,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > iac expanded,zze3r/eiuFS/KQyUm/v1fIi/v4agI,lucide,folder-open,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#AFB5C5,icons/lucide-folder-open-0bc4319b1274.svg,lucide/folder-open/0bc4319b1274,18px,18px,#AFB5C5
3913,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,IsuOX,Expand project,iac main,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > iac expanded,zze3r/eiuFS/KQyUm/v1fIi/v4agI,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#AFB5C5
3914,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,a5Y7JP,New task icon,Tasks,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Tasks,zze3r/eiuFS/KQyUm/v1fIi/s5hjd/VCFvJ,lucide,list-todo,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-list-todo-90fea884f26c.svg,lucide/list-todo/90fea884f26c,15px,15px,#8992A6
3915,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,hHOuY,New task icon,Git,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Git,zze3r/eiuFS/KQyUm/v1fIi/s5hjd/Kc4cv,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96,15px,15px,#8992A6
3916,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,P2vbl,New task icon,GitHub,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > GitHub,zze3r/eiuFS/KQyUm/v1fIi/s5hjd/Mu3ek,lucide,github,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-github-357f9b03fe86.svg,lucide/github/357f9b03fe86,15px,15px,#8992A6
3917,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,S7MZN4,New task icon,Skills,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Skills,zze3r/eiuFS/KQyUm/v1fIi/s5hjd/jFls7,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a,15px,15px,#8992A6
3918,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,v2mWUn,New task icon,Workflows,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Workflows,zze3r/eiuFS/KQyUm/v1fIi/s5hjd/a9yTex,lucide,workflow,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-workflow-8a89b4882c44.svg,lucide/workflow/8a89b4882c44,15px,15px,#8992A6
3919,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,i0uuB,New task icon,Settings,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Settings,zze3r/eiuFS/KQyUm/v1fIi/s5hjd/vmAq6,lucide,settings,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-settings-6f5239928ba5.svg,lucide/settings/6f5239928ba5,15px,15px,#8992A6
3920,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,tpR2o,Reference status glyph,#217,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session > Session labels > Optional tracker reference line > Optional PR or issue,zze3r/eiuFS/KQyUm/v1fIi/rPX7U/jJ7oW/RdGS4/FjwuH/J8NKlV,lucide,git-merge,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#D7BDFF,icons/lucide-git-merge-f64349b9dbe0.svg,lucide/git-merge/f64349b9dbe0,12px,12px,#D7BDFF
3921,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,pxKG3,Reference status glyph,#214,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session > Session labels > Optional tracker reference line > Linked issue #214,zze3r/eiuFS/KQyUm/v1fIi/rPX7U/jJ7oW/RdGS4/FjwuH/nEshW,lucide,circle-dot,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#83BAFF,icons/lucide-circle-dot-ea10782b4ad5.svg,lucide/circle-dot/ea10782b4ad5,12px,12px,#83BAFF
3922,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,k0FH3A,Pin or unpin session,Fixing finalization failure #217 #214,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session,zze3r/eiuFS/KQyUm/v1fIi/rPX7U/jJ7oW,lucide,pin,box-sizing: border-box; flex-shrink: 0; height: 18px; position: relative; width: 18px; z-index: 1,#D7BDFF,icons/lucide-pin-497f00cc15b7.svg,lucide/pin/497f00cc15b7,18px,18px,#D7BDFF
3923,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,owP9r,Reference status glyph,#217,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to audit > Worker hierarchy guide > Audit worker > Session labels > Optional tracker reference line > Optional PR or issue,zze3r/eiuFS/KQyUm/v1fIi/rPX7U/iIdSn/Cp7J6/bJSQJ/Ewjd8/wK28r/aiwkj,lucide,git-merge,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#D7BDFF,icons/lucide-git-merge-f64349b9dbe0.svg,lucide/git-merge/f64349b9dbe0,12px,12px,#D7BDFF
3924,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,skK4N,Reference status glyph,#214,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to delegated setup > Worker hierarchy guide > Worker with PR example > Session labels > Optional tracker reference line > Optional PR or issue,zze3r/eiuFS/KQyUm/v1fIi/rPX7U/ueKrJ/tzf9H/BlJcL/lBd6J/u4ALzs/P799t,lucide,circle-dot,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#83BAFF,icons/lucide-circle-dot-ea10782b4ad5.svg,lucide/circle-dot/ea10782b4ad5,12px,12px,#83BAFF
3925,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,guVeT,Project folder,website feature/accessibility-audit,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > website expanded,zze3r/eiuFS/KQyUm/v1fIi/iiyFT,lucide,folder-open,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#AFB5C5,icons/lucide-folder-open-0bc4319b1274.svg,lucide/folder-open/0bc4319b1274,18px,18px,#AFB5C5
3926,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,h5Hh5,Expand project,website feature/accessibility-audit,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > website expanded,zze3r/eiuFS/KQyUm/v1fIi/iiyFT,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#AFB5C5
3927,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,ek9pr,Reference status glyph,#91,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Website project sessions > Watch preview deployment > Session labels > Optional tracker reference line > Optional PR or issue,zze3r/eiuFS/KQyUm/v1fIi/Qvl1P/VCWtM/reZJA/oNbYA/N0SF1t,lucide,git-pull-request,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#D7BDFF,icons/lucide-git-pull-request-9ff25470d22f.svg,lucide/git-pull-request/9ff25470d22f,12px,12px,#D7BDFF
3928,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,ek9pr,Reference status glyph,#298,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Website project sessions > Replace legacy carousel > Session labels > Optional tracker reference line > Optional PR or issue,zze3r/eiuFS/KQyUm/v1fIi/Qvl1P/EZIFQ/reZJA/oNbYA/N0SF1t,lucide,circle-dot,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#83BAFF,icons/lucide-circle-dot-ea10782b4ad5.svg,lucide/circle-dot/ea10782b4ad5,12px,12px,#83BAFF
3929,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,M4JTn,Project folder,earwitness,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Folded project · earwitness,zze3r/eiuFS/KQyUm/v1fIi/joqG3,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#AFB5C5,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68,18px,18px,#AFB5C5
3930,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,MCh44,Expand project,earwitness,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Folded project · earwitness,zze3r/eiuFS/KQyUm/v1fIi/joqG3,lucide,chevron-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-chevron-right-cee1458c0dd0.svg,lucide/chevron-right/cee1458c0dd0,16px,16px,#AFB5C5
3931,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,aVc2I,All tasks icon,,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Local workspace status > Compact workspace actions > All tasks button,zze3r/eiuFS/um4Dd/IqgWF/RsiQK,lucide,layers,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#AFB5C5,icons/lucide-layers-bcddb17470e3.svg,lucide/layers/bcddb17470e3,17px,17px,#AFB5C5
3932,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,P71NN,Add project icon,,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Local workspace status > Compact workspace actions > Add project button,zze3r/eiuFS/um4Dd/IqgWF/ZTqX3,lucide,folder-plus,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#AFB5C5,icons/lucide-folder-plus-87f0433c6541.svg,lucide/folder-plus/87f0433c6541,17px,17px,#AFB5C5
3933,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,fabdc,Global settings icon,,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Local workspace status > Compact workspace actions > Global settings button,zze3r/eiuFS/um4Dd/IqgWF/y8S6RQ,lucide,settings-2,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#AFB5C5,icons/lucide-settings-2-1cc665612c4e.svg,lucide/settings-2/1cc665612c4e,17px,17px,#AFB5C5
3934,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,uGBu4,Tools icon,,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Local workspace status > Compact workspace actions > Tools button,zze3r/eiuFS/um4Dd/IqgWF/KjyBP,lucide,wrench,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#AFB5C5,icons/lucide-wrench-c007132f26fe.svg,lucide/wrench/c007132f26fe,17px,17px,#AFB5C5
3935,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,kDEIk,Tools menu chevron,,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Local workspace status > Compact workspace actions > Tools button,zze3r/eiuFS/um4Dd/IqgWF/KjyBP,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,10px,10px,#8992A6
3936,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,n1KYP,Theme icon,,27C. GitHub PR · Requirements unknown · Desktop dark > Shared project navigation > Local workspace status > Compact workspace actions > Theme button,zze3r/eiuFS/um4Dd/IqgWF/VfHlv,lucide,sun-moon,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#AFB5C5,icons/lucide-sun-moon-e715c2aaac76.svg,lucide/sun-moon/e715c2aaac76,17px,17px,#AFB5C5
3937,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,mnJkH,Project folder,Workspace / GitHub main,27C. GitHub PR · Requirements unknown · Desktop dark > Page workspace > Shared page breadcrumb,zze3r/y9qa8F/bcz81,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68,16px,16px,#8992A6
3938,zze3r,27C. GitHub PR · Requirements unknown · Desktop dark,VaC0x,Isolated worktree indicator,Workspace / GitHub main,27C. GitHub PR · Requirements unknown · Desktop dark > Page workspace > Shared page breadcrumb,zze3r/y9qa8F/bcz81,lucide,shield-check,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#D7BDFF,icons/lucide-shield-check-588013874c94.svg,lucide/shield-check/588013874c94,16px,16px,#D7BDFF
3939,Pf2JI,27C. GitHub PR · Requirements unknown · Mobile light,fDgNy,Open navigation,Cezarion iac,27C. GitHub PR · Requirements unknown · Mobile light > Shared mobile header,Pf2JI/AdhDA,lucide,menu,box-sizing: border-box; flex-shrink: 0; height: 20px; width: 20px,#667084,icons/lucide-menu-fdc199b4cb7c.svg,lucide/menu/fdc199b4cb7c,20px,20px,#667084
3940,Pf2JI,27C. GitHub PR · Requirements unknown · Mobile light,hdpfq,Project,iac,27C. GitHub PR · Requirements unknown · Mobile light > Shared mobile header > Project picker,Pf2JI/AdhDA/CT1L1,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68,16px,16px,#667084
3941,Pf2JI,27C. GitHub PR · Requirements unknown · Mobile light,H9qx4,Change project,iac,27C. GitHub PR · Requirements unknown · Mobile light > Shared mobile header > Project picker,Pf2JI/AdhDA/CT1L1,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#667084
3942,mC4Fw,27C. GitHub PR · Requirements unknown · Mobile dark,fDgNy,Open navigation,Cezarion iac,27C. GitHub PR · Requirements unknown · Mobile dark > Shared mobile header,mC4Fw/sKGyX,lucide,menu,box-sizing: border-box; flex-shrink: 0; height: 20px; width: 20px,#8992A6,icons/lucide-menu-fdc199b4cb7c.svg,lucide/menu/fdc199b4cb7c,20px,20px,#8992A6
3943,mC4Fw,27C. GitHub PR · Requirements unknown · Mobile dark,hdpfq,Project,iac,27C. GitHub PR · Requirements unknown · Mobile dark > Shared mobile header > Project picker,mC4Fw/sKGyX/CT1L1,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68,16px,16px,#8992A6
3944,mC4Fw,27C. GitHub PR · Requirements unknown · Mobile dark,H9qx4,Change project,iac,27C. GitHub PR · Requirements unknown · Mobile dark > Shared mobile header > Project picker,mC4Fw/sKGyX/CT1L1,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#8992A6
3945,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,Miq1Y,Search,Search… ⌘K,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Search tasks,h8VpfA/AqQsy/zmwW1,lucide,search,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-search-97566fb629e3.svg,lucide/search/97566fb629e3,16px,16px,#667084
3946,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,Zl85A,New task icon,New task,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Workspace links > New task,h8VpfA/AqQsy/KZzFc/BmQeP,lucide,plus,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#667084,icons/lucide-plus-5d291bcb8254.svg,lucide/plus/5d291bcb8254,18px,18px,#667084
3947,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,O5FimD,Project folder,iac main,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > iac expanded,h8VpfA/AqQsy/KQyUm/v1fIi/v4agI,lucide,folder-open,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#4B5566,icons/lucide-folder-open-0bc4319b1274.svg,lucide/folder-open/0bc4319b1274,18px,18px,#4B5566
3948,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,IsuOX,Expand project,iac main,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > iac expanded,h8VpfA/AqQsy/KQyUm/v1fIi/v4agI,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#4B5566
3949,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,a5Y7JP,New task icon,Tasks,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Tasks,h8VpfA/AqQsy/KQyUm/v1fIi/s5hjd/VCFvJ,lucide,list-todo,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-list-todo-90fea884f26c.svg,lucide/list-todo/90fea884f26c,15px,15px,#667084
3950,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,hHOuY,New task icon,Git,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Git,h8VpfA/AqQsy/KQyUm/v1fIi/s5hjd/Kc4cv,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96,15px,15px,#667084
3951,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,P2vbl,New task icon,GitHub,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > GitHub,h8VpfA/AqQsy/KQyUm/v1fIi/s5hjd/Mu3ek,lucide,github,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-github-357f9b03fe86.svg,lucide/github/357f9b03fe86,15px,15px,#667084
3952,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,S7MZN4,New task icon,Skills,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Skills,h8VpfA/AqQsy/KQyUm/v1fIi/s5hjd/jFls7,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a,15px,15px,#667084
3953,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,v2mWUn,New task icon,Workflows,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Workflows,h8VpfA/AqQsy/KQyUm/v1fIi/s5hjd/a9yTex,lucide,workflow,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-workflow-8a89b4882c44.svg,lucide/workflow/8a89b4882c44,15px,15px,#667084
3954,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,i0uuB,New task icon,Settings,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Settings,h8VpfA/AqQsy/KQyUm/v1fIi/s5hjd/vmAq6,lucide,settings,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-settings-6f5239928ba5.svg,lucide/settings/6f5239928ba5,15px,15px,#667084
3955,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,tpR2o,Reference status glyph,#217,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session > Session labels > Optional tracker reference line > Optional PR or issue,h8VpfA/AqQsy/KQyUm/v1fIi/rPX7U/jJ7oW/RdGS4/FjwuH/J8NKlV,lucide,git-merge,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#6D28D9,icons/lucide-git-merge-f64349b9dbe0.svg,lucide/git-merge/f64349b9dbe0,12px,12px,#6D28D9
3956,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,pxKG3,Reference status glyph,#214,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session > Session labels > Optional tracker reference line > Linked issue #214,h8VpfA/AqQsy/KQyUm/v1fIi/rPX7U/jJ7oW/RdGS4/FjwuH/nEshW,lucide,circle-dot,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#2366B1,icons/lucide-circle-dot-ea10782b4ad5.svg,lucide/circle-dot/ea10782b4ad5,12px,12px,#2366B1
3957,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,k0FH3A,Pin or unpin session,Fixing finalization failure #217 #214,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session,h8VpfA/AqQsy/KQyUm/v1fIi/rPX7U/jJ7oW,lucide,pin,box-sizing: border-box; flex-shrink: 0; height: 18px; position: relative; width: 18px; z-index: 1,#6D28D9,icons/lucide-pin-497f00cc15b7.svg,lucide/pin/497f00cc15b7,18px,18px,#6D28D9
3958,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,owP9r,Reference status glyph,#217,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to audit > Worker hierarchy guide > Audit worker > Session labels > Optional tracker reference line > Optional PR or issue,h8VpfA/AqQsy/KQyUm/v1fIi/rPX7U/iIdSn/Cp7J6/bJSQJ/Ewjd8/wK28r/aiwkj,lucide,git-merge,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#6D28D9,icons/lucide-git-merge-f64349b9dbe0.svg,lucide/git-merge/f64349b9dbe0,12px,12px,#6D28D9
3959,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,skK4N,Reference status glyph,#214,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to delegated setup > Worker hierarchy guide > Worker with PR example > Session labels > Optional tracker reference line > Optional PR or issue,h8VpfA/AqQsy/KQyUm/v1fIi/rPX7U/ueKrJ/tzf9H/BlJcL/lBd6J/u4ALzs/P799t,lucide,circle-dot,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#2366B1,icons/lucide-circle-dot-ea10782b4ad5.svg,lucide/circle-dot/ea10782b4ad5,12px,12px,#2366B1
3960,h8VpfA,S05. Project settings / Bookmarklets · Desktop light,guVeT,Project folder,website feature/accessibility-audit,S05. Project settings / Bookmarklets · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > website expanded,h8VpfA/AqQsy/KQyUm/v1fIi/iiyFT,lucide,folder-open,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#4B5566,icons/lucide-folder-open-0bc4319b1274.svg,lucide/folder-open/0bc4319b1274,18px,18px,#4B5566
